ID,cobot-task-1,cobot-task-2,cobot-task-3,cobot-task-4,cobot-task-5,hanoi_0,manual-task-1,manual-task-2,manual-task-3,manual-task-4,manual-task-5,mat_0,meditation_0,n-back_0,rest-1,rest-2,rest_0,stroopeasy_0,stroophard_0,vr-job-sim_0,vr-plank_0
10000,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
10001,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1001,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1002,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1003,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1004,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1005,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1006,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1007,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1008,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1009,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1010,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1011,-,-,-,-,-,-,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1012,-,-,-,-,-,-,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1013,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,-,✓
1014,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
